drawSeries4 ; 65_2_1 ; 4 ; 3 ; 1 ; 2 ; 1  0  0; 0  1  0 ; [2017 6 17 16 24 25.285558]; [2017 6 17 16 24 30.508662]; 160227_8721_120 ; 1; 3; 5; 5; 7; 7; 1280; 1024; 0; 9; 2492.000000; [0 0 0]
 ; drawSeries4 ; 2_2_1 ; 4 ; 1 ; 3 ; 2 ; 0.75        0.75        0.75; 0.75        0.75        0.75 ; [2017 6 26 9 31 27.80622]; [2017 6 26 9 31 41.959868]; 168667_5392_123 ; 1; 3; 5; 5; 7; 7; 1280; 1024; 0; 12; 2292.000000; [0.98 0.98 0.16]
5.000000e-01 ; 
